NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
31715,102 Hz Provost 02/14-28-035-08w4,Karve Energy Inc.,,N/A,Alberta,,52.03935,-111.09117,0.23,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331715&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31715,2022
31716,Karve Hz Provost 16-23-35-10w4,Karve Energy Inc.,,,Alberta,,52.02485,-111.31734,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331716&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31716,2022
31717,Karve 102 Hz Provost 12-8-39-10,Karve Energy Inc.,,N/A,Alberta,,52.34297,-115.41347,1.01,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331717&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31717,2022
31718,Karve 102 Hz Provost 5-8-39-10,Karve Energy Inc.,,N/A,Alberta,,52.33935,-115.41347,0.74,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331718&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31718,2022
31719,Karve 10-23-35-07w4,Karve Energy Inc.,,N/A,Alberta,,52.02105,-110.89473,14.39,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331719&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31719,2022
31720,Karve Hz Provost 5-7-39-11,Karve Energy Inc.,,N/A,Alberta,,52.33931,-115.58132,1.05,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331720&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31720,2022
31721,Karve Hz Provost 4-7-39-11,Karve Energy Inc.,,N/A,Alberta,,52.33569,-115.58132,0.83,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331721&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31721,2022
31722,Hz Provost 13-34-036-07w4,Karve Energy Inc.,,N/A,Alberta,,52.14108,-110.93029,1.13,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331722&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31722,2022
31723,Karve Hz Provost 3-29-35-8,Karve Energy Inc.,,N/A,Alberta,,52.02985,-115.11134,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331723&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31723,2022
31724,Karve Hz Provost 4-4-35-8,Karve Energy Inc.,,N/A,Alberta,,51.97164,-115.09341,2.25,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331724&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31724,2022
31726,Acl 01-03-039-10w4 Booster,Karve Energy Inc.,,,Alberta,,52.31945,-111.35147,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331726&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31726,2022
31729,Brampton Site,"Master Builders Solutions Canada, Inc.",1800 Clark Boulevard,Brampton,Ontario,L6T 4M7,43.7342,-79.68872,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331729&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31729,2022
31734,Tamarack 15-31-029-25 W3m,Tamarack Acquisition Corp.,,Flaxcombe,Saskatchewan,,51.53112,-109.50518,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331734&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31734,2022
31735,Milton Oil Battery 04-01-030-28w3,Tamarack Acquisition Corp.,,N/A,Saskatchewan,,51.53489,-109.82147,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331735&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31735,2022
